TEAM,RATING,OFFENSE,DEFENSE,SPECIAL TEAMS
75. Houston (3-1),0.7,25.8 (83),24.9 (51),-0.2 (111)
76. Air Force (3-1),0,26.5 (78),26.3 (66),-0.1 (90)
77. Tulane (1-3),-0.3,32.4 (36),32.5 (102),-0.1 (96)
78. Duke (3-1),-0.4,29.2 (62),29.7 (89),0.1 (37)
79. Nevada (2-1),-0.4,28.3 (69),28.7 (85),-0.1 (79)
80. Toledo (2-2),-1.5,22.1 (102),23.7 (46),0.1 (49)
81. Wyoming (4-0),-1.7,24.0 (93),25.5 (59),-0.2 (106)
82. Northwestern (2-2),-1.9,20.2 (108),22.0 (33),-0.1 (94)
83. Stanford (2-2),-2.1,28.5 (68),30.7 (94),0.0 (59)
84. Wash. St. (1-3),-2.2,30.7 (47),33.0 (104),0.1 (42)
85. Georgia St. (1-3),-3,27.7 (72),30.7 (93),0.0 (71)
86. S. Carolina (2-2),-3.5,21.6 (105),25.3 (58),0.2 (18)
87. WKU (1-2),-3.9,23.9 (94),28.1 (77),0.3 (14)
88. FAU (2-2),-3.9,24.1 (92),27.9 (76),-0.1 (80)
89. San Jose St. (2-2),-4.7,21.8 (103),26.6 (69),0.1 (44)
90. Buffalo (2-2),-5,26.4 (79),31.2 (96),-0.2 (107)
91. CMU (2-2),-5.4,23.6 (97),28.8 (86),-0.2 (115)
92. Illinois (1-4),-5.6,24.3 (90),30.3 (91),0.4 (5)
93. Hawaii (2-3),-6.3,26.5 (76),33.0 (103),0.1 (38)
94. Colorado (1-3),-7.2,19.3 (112),26.5 (68),-0.1 (81)
95. Temple (2-2),-7.5,20.8 (107),28.4 (82),0.1 (52)
96. Miami-OH (1-3),-7.7,23.8 (95),31.6 (97),0.0 (57)
97. Colorado St. (1-3),-9.2,17.1 (121),26.3 (63),0.0 (64)
98. ECU (2-2),-9.5,24.5 (89),34.1 (108),0.2 (31)
99. Kent St. (1-3),-9.7,26.2 (82),35.5 (113),-0.4 (125)
100. So. Miss (1-3),-9.7,17.2 (120),27.0 (71),0.0 (65)
101. NIU (2-2),-10,25.0 (87),35.0 (110),0.0 (76)
102. MTSU (1-3),-10.4,23.4 (98),33.8 (107),0.0 (67)
103. EMU (3-1),-10.8,30.8 (45),41.5 (127),-0.1 (97)
104. Utah St. (3-1),-11,25.0 (88),36.0 (115),0.0 (60)
105. Charlotte (3-1),-11.3,29.1 (66),40.4 (122),0.0 (75)
106. FIU (1-3),-11.7,20.0 (110),31.6 (98),-0.1 (85)
107. S. Alabama (3-0),-11.7,18.6 (116),30.6 (92),0.2 (26)
108. Arizona (0-4),-12.3,22.3 (101),34.4 (109),-0.2 (103)
109. BGSU (2-2),-12.5,13.7 (130),26.3 (67),0.1 (34)
110. La. Tech (2-2),-12.8,23.7 (96),36.3 (118),-0.2 (99)
111. UTEP (3-1),-13.6,21.7 (104),35.4 (112),0.1 (35)
112. N. Texas (1-3),-13.8,19.9 (111),33.5 (106),-0.2 (101)
113. Ohio (0-4),-14.2,22.5 (100),36.2 (117),-0.5 (127)
114. Navy (0-3),-14.2,16.1 (124),30.0 (90),-0.3 (116)
115. Texas St. (1-3),-14.2,26.3 (81),40.4 (123),-0.1 (86)
116. New Mexico (2-2),-14.2,17.7 (119),32.0 (100),0.1 (51)
117. Arkansas St. (1-3),-15.3,25.4 (84),40.8 (126),0.1 (32)
118. Ball St. (1-3),-16.6,20.2 (109),36.9 (119),0.1 (33)
119. Kansas (1-3),-16.7,21.1 (106),37.9 (121),0.1 (53)
120. Ga. Southern (1-3),-16.8,18.4 (118),35.3 (111),0.1 (48)
121. ODU (1-3),-16.9,15.7 (125),32.4 (101),-0.2 (114)
122. USF (1-3),-17.1,18.6 (117),35.8 (114),0.1 (47)
123. Rice (1-3),-19.7,14.3 (128),33.4 (105),-0.6 (130)
124. ULM (2-1),-20.4,16.9 (122),37.1 (120),-0.2 (104)
125. Vanderbilt (1-3),-21.2,15.2 (126),36.2 (116),-0.3 (118)
126. UNLV (0-4),-22,18.8 (114),40.7 (125),-0.1 (83)
127. Akron (1-3),-24.1,16.8 (123),40.7 (124),-0.2 (112)
128. UMass (0-4),-27.4,19.3 (113),46.2 (130),-0.5 (129)
129. UConn (0-5),-29.3,14.0 (129),43.0 (128),-0.2 (113)
130. NMSU (1-4),-29.6,14.3 (127),43.8 (129),-0.2 (105)
